Date,Open,High,Low,Close,Volume,Adj Close
2013-12-19,5250.00,5375.00,5177.00,5331.65,57300,5174.10
2013-12-18,5151.00,5250.00,5151.00,5236.70,74000,5081.96
2013-12-17,5015.00,5198.00,5015.00,5174.25,45100,5021.35
2013-12-16,4950.00,5113.90,4925.05,5048.90,31900,4899.70
2013-12-13,4978.00,5042.00,4895.00,4920.75,28600,4775.34
2013-12-12,5039.80,5075.00,4997.00,5007.75,23100,4859.77
2013-12-11,5022.00,5037.85,4990.00,5004.05,20200,4856.18
2013-12-10,5025.00,5089.90,5010.00,5021.10,37300,4872.73
2013-12-09,5105.05,5147.15,5021.00,5040.50,46900,4891.55
2013-12-06,5082.00,5126.00,5042.00,5067.55,27000,4917.80
2013-12-05,5020.00,5144.00,5020.00,5095.30,22700,4944.73
2013-12-04,5095.00,5144.80,5013.50,5032.80,24800,4884.08
2013-12-03,5210.00,5224.90,5080.00,5099.05,25900,4948.37
2013-12-02,5180.00,5244.00,5160.00,5187.90,26600,5034.60
2013-11-29,5245.00,5266.00,5111.00,5145.05,69600,4993.01
2013-11-28,5375.00,5384.00,5200.00,5224.40,82000,5070.02
2013-11-27,5215.00,5553.00,5156.00,5437.05,264600,5276.38
2013-11-26,5448.00,5494.00,5111.00,5298.65,746100,5142.07
2013-11-25,5480.00,5535.00,5390.00,5435.90,113000,5275.27
2013-11-22,5580.00,5582.95,5422.40,5458.45,60700,5297.15
2013-11-21,5575.00,5585.00,5470.00,5490.80,75900,5328.55
2013-11-20,5605.00,5623.75,5517.05,5548.20,29600,5384.25
2013-11-19,5705.00,5705.00,5581.95,5603.90,40900,5438.30
2013-11-18,5655.00,5700.45,5622.00,5674.45,47300,5506.77
2013-11-15,5643.00,5643.00,5643.00,5643.00,000,5476.25
2013-11-14,5630.00,5675.00,5606.10,5643.00,23300,5476.25
2013-11-13,5620.00,5709.95,5580.30,5599.35,31500,5433.89
2013-11-12,5630.00,5725.00,5630.00,5661.35,20300,5494.06
2013-11-11,5700.00,5773.95,5590.00,5615.15,29100,5449.22
2013-11-08,5700.00,5844.00,5660.00,5763.15,117800,5592.85
2013-11-07,5600.20,5751.00,5600.20,5735.75,42900,5566.26
2013-11-06,5695.00,5725.00,5580.00,5607.40,28100,5441.70
2013-11-05,5735.00,5798.90,5699.00,5732.85,29900,5563.44
2013-11-04,5716.00,5716.00,5716.00,5716.00,000,5547.09
2013-11-01,5594.00,5747.90,5591.00,5716.00,58700,5547.09
2013-10-31,5520.00,5600.25,5520.00,5596.95,47600,5414.09
2013-10-30,5599.95,5604.95,5512.10,5597.35,23300,5414.48
2013-10-29,5530.00,5608.25,5510.00,5592.25,21200,5409.55
2013-10-28,5500.00,5600.00,5395.25,5576.00,16000,5393.83
2013-10-25,5500.00,5552.15,5500.00,5533.20,10900,5352.42
2013-10-24,5600.00,5625.00,5502.50,5562.40,7400,5380.67
2013-10-23,5610.65,5651.70,5572.20,5619.20,18900,5435.62
2013-10-22,5539.80,5640.00,5512.35,5604.65,28100,5421.54
2013-10-21,5535.00,5578.80,5462.20,5510.50,24600,5330.47
2013-10-18,5492.00,5569.95,5492.00,5529.55,54200,5348.89
2013-10-17,5305.55,5518.70,5305.55,5468.40,89800,5289.74
2013-10-16,5288.25,5288.25,5288.25,5288.25,000,5115.48
2013-10-15,5111.00,5368.95,5100.00,5288.25,74900,5115.48
2013-10-14,5099.30,5110.00,5052.00,5093.30,12600,4926.90
2013-10-11,5116.00,5119.00,5021.00,5054.75,9100,4889.61
2013-10-10,5093.00,5129.00,5037.00,5115.15,22700,4948.03
2013-10-09,5029.00,5095.95,5002.05,5057.40,24500,4892.17
2013-10-08,5069.95,5069.95,5002.10,5013.65,5900,4849.85
2013-10-07,5110.00,5110.00,5033.40,5070.40,24800,4904.74
2013-10-04,5219.00,5219.00,5055.00,5082.10,18300,4916.06
2013-10-03,5200.20,5250.00,5101.00,5157.05,26800,4988.56
2013-10-02,5190.50,5190.50,5190.50,5190.50,000,5020.92
2013-10-01,5148.00,5220.00,5111.05,5190.50,21300,5020.92
2013-09-30,5081.10,5279.00,5081.10,5219.55,33600,5049.02
2013-09-27,5070.00,5124.00,4992.00,5098.10,24700,4931.54
2013-09-26,4985.00,5080.00,4951.00,5034.40,121000,4869.92
2013-09-25,5000.00,5000.00,4903.05,4941.50,20900,4780.06
2013-09-24,4925.05,4997.85,4883.40,4936.80,14100,4775.51
2013-09-23,4975.00,5038.70,4900.00,4943.00,19000,4781.51
2013-09-20,4990.00,5040.00,4933.40,5024.70,7500,4860.54
2013-09-19,5020.35,5060.10,4989.85,5029.30,60600,4864.99
2013-09-18,5000.95,5035.00,4935.20,5018.95,18800,4854.98
2013-09-17,4872.00,5018.90,4850.00,4981.05,17100,4818.31
2013-09-16,4975.00,5026.50,4770.00,4852.80,9800,4694.25
2013-09-13,4986.25,5002.00,4936.00,4958.35,25600,4796.36
2013-09-12,5001.00,5050.00,4960.00,4986.25,16800,4823.34
2013-09-11,5000.00,5100.00,4999.00,5054.10,62900,4888.98
2013-09-10,5010.00,5055.10,4990.00,5010.75,20700,4847.04
2013-09-09,5008.35,5008.35,5008.35,5008.35,000,4844.72
2013-09-06,5025.00,5039.80,4955.00,5008.35,17800,4844.72
2013-09-05,4932.10,5096.85,4929.95,4998.10,21000,4834.81
2013-09-04,4925.05,5028.85,4925.00,4981.15,36800,4818.41
2013-09-03,4822.30,4974.95,4822.30,4922.65,15200,4761.82
2013-09-02,4897.00,4980.00,4889.95,4967.15,10900,4804.87
2013-08-30,4699.65,4950.00,4699.65,4896.70,47700,4736.72
2013-08-29,4585.00,4716.90,4585.00,4675.70,8600,4522.94
2013-08-28,4774.00,4774.00,4565.50,4620.95,40400,4469.98
2013-08-27,4860.00,4870.15,4700.00,4702.75,9800,4549.11
2013-08-26,4860.00,4997.00,4855.00,4876.00,6700,4716.70
2013-08-23,4851.10,4933.90,4851.10,4883.15,27400,4723.61
2013-08-22,4945.00,4945.00,4810.00,4872.25,5100,4713.07
2013-08-21,4870.00,4929.95,4850.00,4866.15,11000,4707.17
2013-08-20,4900.00,4900.05,4760.00,4832.50,29000,4674.62
2013-08-19,5097.70,5097.70,4875.10,4911.25,11900,4750.79
2013-08-16,5113.90,5113.90,4950.00,4985.65,9400,4822.76
2013-08-15,5113.90,5113.90,5113.90,5113.90,000,4946.82
2013-08-14,5060.00,5150.00,5051.00,5113.90,11400,4946.82
2013-08-13,5111.90,5148.90,5026.65,5101.55,4200,4934.88
2013-08-12,5010.00,5129.95,4963.40,5114.25,5600,4947.16
2013-08-09,5010.85,5010.85,5010.85,5010.85,000,4847.14
2013-08-08,4952.05,5089.75,4859.95,5010.85,11000,4847.14
2013-08-07,5125.00,5125.00,4920.00,4952.40,14800,4790.60
2013-08-06,5275.00,5275.00,5095.00,5113.45,28300,4946.39
2013-08-05,5420.00,5420.00,5224.95,5315.45,8900,5141.79
2013-08-02,5251.20,5494.00,5205.20,5428.15,13500,5250.81
2013-08-01,5280.00,5345.00,5199.95,5250.80,10500,5079.25
2013-07-31,5324.00,5324.00,5223.55,5293.50,10400,5120.56
2013-07-30,5395.00,5395.00,5301.00,5303.70,7400,5113.01
2013-07-29,5450.00,5472.00,5351.00,5382.50,14800,5188.98
2013-07-26,5533.00,5584.00,5412.20,5449.70,18900,5253.76
2013-07-25,5590.05,5668.05,5532.00,5578.45,9100,5377.88
2013-07-24,5648.00,5650.00,5560.00,5620.95,5200,5418.85
2013-07-23,5635.45,5696.80,5631.00,5664.45,8100,5460.79
2013-07-22,5708.50,5715.00,5605.15,5629.70,17900,5427.29
2013-07-19,5677.00,5760.00,5677.00,5702.65,21400,5497.62
2013-07-18,5725.00,5800.00,5616.35,5732.90,18800,5526.78
2013-07-17,5685.00,5787.00,5675.40,5742.80,31300,5536.32
